Algorithm,Non-pulsar precision,Non-pulsar recall,Non-pulsar F1,Pulsar precision,Pulsar recall,Pulsar F1,Weighted precision,Weighted recall,Weighted F1,Matthews corrcoefficient,Cohen's Kappa,Parameters,PCA,Tuning,Scaling,Sampling
Logistic Regression,0.9892517569243489,0.9849763325787199,0.9871094152830773,0.8625235404896422,0.8980392156862745,0.8799231508165225,0.977213874566051,0.9767181970571801,0.9769278181741291,0.867,0.867,"{'C': 4.3428571428571425, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 50, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 25, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",False,True,True,adasyn
Logistic Regression,0.9828559027777778,0.9320847911092818,0.9567972958698638,0.5663600525624178,0.8450980392156863,0.6782061369000786,0.9432930635880155,0.9238219407710934,0.9303339896536987,0.653,0.637,"{'C': 0.1, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 50, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l1', 'random_state': 25, 'solver': 'liblinear', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",True,True,False,rus
Logistic Regression,0.9831914429163938,0.9269396995266516,0.9542372881355932,0.549492385786802,0.8490196078431372,0.6671802773497689,0.9419944752993158,0.9195380890296144,0.9269698127210336,0.643,0.624,"{'C': 0.1, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 50, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 25, 'solver': 'newton-cg', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",True,True,False,nm-3
Logistic Regression,0.9735494880546075,0.939287919324964,0.9561118676023882,0.566813509544787,0.7568627450980392,0.6481947942905121,0.9349137366968112,0.9219593965356677,0.9268628999381943,0.613,0.605,"{'C': 0.1, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 50, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l1', 'random_state': 25, 'solver': 'liblinear', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",True,True,False,cnn
Logistic Regression,0.9501424501424501,0.9608973039720107,0.9554896142433235,0.5824175824175825,0.5196078431372549,0.5492227979274612,0.9152123546796671,0.9189793257589868,0.9168984284878587,0.506,0.505,"{'C': 0.1, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 50, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 25, 'solver': 'liblinear', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",True,True,False,ros
Logistic Regression,0.9503358436800325,0.9608973039720107,0.9555873925501432,0.5833333333333334,0.5215686274509804,0.5507246376811594,0.9154743647683512,0.9191655801825294,0.9171295782489359,0.507,0.506,"{'C': 0.1, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 50, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 25, 'solver': 'liblinear', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",True,True,False,smote
Logistic Regression,0.9481361426256077,0.963161144268368,0.9555895865237365,0.5866050808314087,0.4980392156862745,0.5387062566277837,0.9137943952769316,0.9189793257589868,0.9159899407336571,0.497,0.495,"{'C': 0.1, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 50, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 25, 'solver': 'liblinear', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",True,True,False,adasyn
Logistic Regression,0.9922039612305099,0.969129450504219,0.9805309734513274,0.7592295345104334,0.9274509803921569,0.8349514563106797,0.9700737772805678,0.9651704227975414,0.9667024106385633,0.821,0.816,"{'C': 4.746938775510204, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 50, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 25, 'solver': 'liblinear', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",False,True,False,rus
Logistic Regression,0.9877389858686617,0.9781848116896481,0.9829386826594976,0.8096947935368043,0.884313725490196,0.8453608247422681,0.9708266114806477,0.9692680201154777,0.9698701955040149,0.829,0.828,"{'C': 2.5244897959183676, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 50, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 25, 'solver': 'liblinear', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",False,True,False,nm-3
Logistic Regression,0.9878325427923283,0.9857995472319407,0.9868149979398434,0.8673076923076923,0.884313725490196,0.8757281553398057,0.976383916652048,0.9761594337865525,0.9762628858657105,0.863,0.863,"{'C': 8.989795918367347, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 50, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 25, 'solver': 'newton-cg', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",False,True,False,cnn
